code,股票,行业,alpha_hat,alpha_p,beta_hat,beta_ci_low,beta_ci_high,R^2,n_obs,95% CI
000002,万科A,房地产,-0.0013275378910001362,0.008447944192201544,1.0028297671571316,0.9195995440491357,1.0860599902651273,0.26976923122737273,1514,"[0.920, 1.086]"
601238,广汽集团,汽车,-0.00032914376093816985,0.5276213786236805,0.9800228042089454,0.893889218785207,1.0661563896326838,0.2477997033388637,1514,"[0.894, 1.066]"
002594,比亚迪,汽车,0.0011799698091580196,0.04280427455898203,1.2817571167657873,1.1855282798816715,1.377985953649903,0.31104924549535773,1514,"[1.186, 1.378]"
002352,顺丰控股,物流,3.6096653166613204e-05,0.9364923733135704,0.8779606647299059,0.8030278760687259,0.9528934533910858,0.2592779147562023,1511,"[0.803, 0.953]"
600519,贵州茅台,白酒,0.0002096984919332854,0.5316132549730943,0.9772159541006642,0.921805150423073,1.0326267577782553,0.4417978931679719,1514,"[0.922, 1.033]"
600938,中国海油,能源,0.0012695489768911254,0.06237452201221866,0.6289091211772427,0.506545495378652,0.7512727469758335,0.09618139021363115,958,"[0.507, 0.751]"
601857,中国石油,能源,0.0006317730706532987,0.16225654615937612,0.4680409674292502,0.3933362497623154,0.542745685096185,0.0908162023455159,1514,"[0.393, 0.543]"
000063,中兴通讯,通讯,-5.103608143132833e-05,0.9294638120643026,1.244054257501784,1.1487598670196166,1.3393486479839516,0.3026411822352778,1513,"[1.149, 1.339]"
601398,工商银行,银行,0.0002962761769247027,0.24601241435951565,0.22246976558058798,0.1802617835179947,0.26467774764318125,0.06602778698793188,1514,"[0.180, 0.265]"
600036,招商银行,银行,0.000138166632155519,0.6965062249385278,0.9049069154983468,0.846351379459679,0.9634624515370146,0.37800565598972646,1514,"[0.846, 0.963]"
