code,股票,行业,gamma_hat,gamma_p,gamma_ci_low,gamma_ci_high,R^2,n_obs,95% CI
000002,万科A,房地产,0.0044680191336107546,0.6523502027891297,-0.015247901160064706,0.024183939427286215,0.0031414650071075467,67,"[-0.0152, 0.0242]"
601238,广汽集团,汽车,0.001359043484381933,0.8880020140541792,-0.017837979662028536,0.020556066630792406,0.0003074454994084208,67,"[-0.0178, 0.0206]"
002594,比亚迪,汽车,0.007861044373704834,0.49892289828046554,-0.015226783918362375,0.030948872665772044,0.007063477515440231,67,"[-0.0152, 0.0309]"
002352,顺丰控股,物流,0.018002823480434058,0.05919368192038496,-0.0007191581837468972,0.036724805144615014,0.053692385982597624,67,"[-0.0007, 0.0367]"
600519,贵州茅台,白酒,0.006343536200679654,0.4290192045652068,-0.00957529360666947,0.022262366008028778,0.009650103699886281,67,"[-0.0096, 0.0223]"
600938,中国海油,能源,-0.005796505936570492,0.6267931193189762,-0.02973327769869348,0.018140265825552497,0.006284489969316964,40,"[-0.0297, 0.0181]"
601857,中国石油,能源,-0.013420171262133226,0.07439423906171903,-0.028200483316716582,0.0013601407924501308,0.048152520800431975,67,"[-0.0282, 0.0014]"
000063,中兴通讯,通讯,0.0004881654384138647,0.9641334317171866,-0.021109424041896085,0.02208575491872381,3.134820170358488e-05,67,"[-0.0211, 0.0221]"
601398,工商银行,银行,-0.010163971666527787,0.0013452299811321723,-0.01622168355285425,-0.004106259780201326,0.1473017161382768,67,"[-0.0162, -0.0041]"
600036,招商银行,银行,-0.009942889565098745,0.18881879358853096,-0.024895559071278224,0.005009779941080735,0.026415815760225114,67,"[-0.0249, 0.0050]"
